,artist,album,reviewauthor,score,releaseyear,reviewdate,recordlabel,genre,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
20,The Secret Machines,September 000,Ryan Schreiber,8.4,2002,June 20 2002,Ace Fu,Experimental,0.459666667,0.469333333,4.666666667,-9.547833333,0.037916667,0.64177,0.069199517,0.2205,0.17465,122.9261667
21,Swayzak,Dirty Dancing,Paul Cooper,6.0,2002,December 2 2002,!K7,Electronic,0.481,0.4920000000000001,10.0,-11.608,0.178,0.0124,0.0,0.11,0.25,103.024
22,Partner,In Search of Lost Time,Stuart Berman,7.5,2017,September 12 2017,You've Changed,Rock,0.579,0.20958,4.4,-17.6821,0.03575,0.8518,0.00147028,0.1179,0.3772,102.1199
23,Hush Arbors,Landscape of Bone,Matthew Murphy,7.4,2006,July 26 2006,Three Lobed,Experimental,0.2386,0.527,3.4,-11.183,0.03638,0.151546,0.8026,0.2256,0.24952,93.7118
24,Moonface,Dreamland EP: Marimba and Shit-Drums,Rob Mitchum,7.5,2010,February 5 2010,Jagjaguwar,Rock,0.662,0.7829999999999999,7.0,-8.787,0.0559,0.929,0.763,0.0789,0.417,176.162
25,Lifetime,Lifetime,Brandon Stosuy,7.9,2007,February 13 2007,Fueled by Ramen,Metal,0.868,0.602,7.0,-5.358,0.0653,0.521,0.00187,0.0915,0.73,108.019
26,John Cale,Black Acetate,Matthew Murphy,4.4,2005,January 22 2006,Astralwerks,Rock,0.541230769,0.612846154,5.692307692000001,-9.385230769,0.068130769,0.324805308,0.168667462,0.183715385,0.433353846,112.1998462
27,Teenage Fanclub,Man-Made,Joe Tangari,7.4,2005,August 3 2005,Merge,Rock,0.252166667,0.975666667,7.166666667,-1.878833333,0.1683,0.0040155,0.190816667,0.248233333,0.072883333,125.4231667
28,Matthew “Doc” Dunn,Lightbourn,Stuart Berman,8.0,2018,August 28 2018,Cosmic Range,Rock,0.494181818,0.791545455,7.454545455,-7.374454545,0.066445455,0.077581991,0.071459182,0.210363636,0.363881818,124.3701818
29,Cold Pumas,Persistent Malaise,Laura Snapes,7.4,2012,December 10 2012,Italian Beach Babes,Rock,0.223875,0.92775,4.75,-5.187625,0.0723,0.0644420999999999,0.68125,0.1085875,0.387,149.38575
30,Sissy Wish,Beauties Never Die,Stephen M. Deusner,8.0,2009,April 1 2009,Afternoon,Pop/R&B,0.6634,0.7022,6.1,-5.4421,0.03567,0.283432,0.035603612,0.16182,0.6871,126.9242
31,Bruce Springsteen,Nebraska,Mark Richardson,10.0,1982,March 18 2018,Columbia,Rock,0.4502,0.1683,5.4,-15.9285,0.03869,0.5909,0.00532745,0.2136,0.279,128.5358
32,k-os,Atlantis: Hymns for Disco,Eric Harvey,6.5,2006,January 25 2007,EMI,Pop/R&B,0.651785714,0.816357143,6.785714286,-5.9162142860000015,0.13705,0.236178571,0.004551911,0.196235714,0.680857143,105.66007140000002
33,Khonnor,Handwriting,Cameron Macdonald,7.7,2004,October 5 2004,Type,Electronic,0.4585,0.2403,3.1,-16.31015,0.064015,0.7494,0.8332649999999999,0.097335,0.20974,111.36255
34,Tune-Yards,Nikki Nack,Mike Powell,8.1,2014,May 6 2014,4AD,Pop/R&B,0.706923077,0.5718461539999999,3.769230769,-8.542076923,0.135392308,0.150896923,0.037256446,0.189838462,0.578230769,120.1253846
35,BROCKHAMPTON,iridescence,Reed Jackson,6.6,2018,September 26 2018,"Question Everything, Inc.",Rap,0.615533333,0.6748,5.4,-6.6490666670000005,0.19766,0.248554667,0.002803641,0.237653333,0.3993,119.3607333
36,The Futureheads,This Is Not the World,Adam Moerder,6.2,2008,May 29 2008,Nul,Electronic,0.428416667,0.951,5.666666667,-2.937833333,0.106175,0.018295333,1.84e-05,0.181591667,0.476916667,164.60575
37,Filthy Friends,Emerald Valley,Sasha Geffen,6.1,2019,May 10 2019,Kill Rock Stars,Rock,0.4359,0.8002,4.4,-3.6757,0.05742,0.1025012,0.01570887,0.12875,0.41006,144.3169
38,Tune-Yards,I Can Feel You Creep Into My Private Life,Laura Snapes,6.2,2018,January 23 2018,4AD,Pop/R&B,0.6396666670000001,0.6779999999999999,6.333333333,-6.918416667000001,0.077275,0.1311741669999999,0.020368885,0.274058333,0.47425,130.86566670000002
39,MV & EE,Drone Trailer,Roque Strew,5.8,2008,March 11 2009,Dicristina,Folk/Country,0.303666667,0.378,6.833333333,-12.7255,0.035416667,0.447016667,0.4047116670000001,0.176633333,0.171483333,112.13483329999998
40,Willie Nelson,Countryman,Stephen  M. Deusner,3.8,2005,July 24 2005,Lost Highway,Rock,0.696333333,0.657,3.416666667,-6.886,0.090966667,0.184575,0.002518271,0.160891667,0.81925,119.7515
41,Mat Maneri,Sustain,Chris Dahlen,8.4,2002,December 10 2002,Thirsty Ear,Experimental,0.5584,0.7292,6.2,-6.2234,0.06384,0.30514,0.128912,0.291,0.24524,124.7854
42,Atmosphere,Fishing Blues,Sheldon Pearce,5.6,2016,August 18 2016,Rhymesayers,Rap,0.708833333,0.641277778,5.555555556,-4.966611111000001,0.1867,0.278111111,0.000112369,0.245972222,0.520833333,92.80011111
43,duendita,direct line to My Creator,Lakin Starling,8.1,2018,January 24 2019,The Vanguarde Craft and Creative,Pop/R&B,0.4715,0.22988,6.6,-16.4075,0.09531,0.7704,0.011828835,0.32158,0.16843,97.3436
44,Calexico,Feast of Wire,Joe Tangari,8.9,2003,February 23 2003,Touch and Go,Rock,0.4616875,0.47475,6.3125,-12.316375,0.0418125,0.50908125,0.580792,0.2522,0.4721,124.57125
45,Modern Skirts,All of Us In Our Night,Joshua Love,4.8,2009,February 11 2009,Self,Rock,0.62775,0.623833333,4.333333333,-8.429583333,0.034566667,0.214642833,0.013916007,0.131516667,0.544141667,138.0879167
46,Destroyer,ken,Amanda Petrusich,7.9,2017,October 20 2017,Merge,Rock,0.554818182,0.647454545,4.909090909,-7.861636364,0.034,0.135828755,0.309599091,0.156509091,0.423745455,124.073
47,The Donkeys,Living on the Other Side,Stephen M. Deusner,5.3,2008,September 11 2008,Dead Oceans,Rock,0.606454545,0.5148181820000001,5.363636364,-9.456909091,0.031227273,0.415609091,0.055130018,0.143545455,0.630363636,111.4498182
48,Los Campesinos!,All's Well That Ends EP,Marc Hogan,7.6,2010,August 16 2010,Arts & Crafts,Rock,0.37,0.00271,0.0,-26.981,0.0477,0.994,0.927,0.124,0.245,69.348
49,Samamidon,All Is Well,Stephen M. Deusner,7.8,2007,February 8 2008,Bedroom Community,Rock,0.37,0.00271,0.0,-26.981,0.0477,0.994,0.927,0.124,0.245,69.348
50,Broken Social Scene,Hug of Thunder,Ian Cohen,8.4,2017,July 10 2017,Arts & Crafts,Rock,0.443166667,0.726333333,5.166666667,-7.796166667,0.052041667,0.199758858,0.419000833,0.153975,0.298183333,115.8148333
51,Masayoshi Fujita,Book of Life,Andy Beta,7.6,2018,August 2 2018,Erased Tapes,Experimental,0.659125,0.688625,5.3125,-5.9594375,0.250025,0.221825,0.0,0.270525,0.7038125,94.8743125
52,Stone Jack Jones,bluefolk,Stephen M. Deusner,7.9,2006,March 2 2006,Fictitious,Rock,0.6858,0.756733333,5.4,-4.84,0.05628,0.159097333,0.000117267,0.130933333,0.564333333,113.0726
53,Communions,Blue,Saby Reyes-Kulkarni,6.5,2017,February 11 2017,Fat Possum,Rock,0.6858,0.756733333,5.4,-4.84,0.05628,0.159097333,0.000117267,0.130933333,0.564333333,113.0726
54,Clouds,Legendary Demo,D. Shawn Bosler,7.5,2007,February 15 2007,Hydra Head,Rock,0.20925,0.908125,5.125,-4.752875,0.1197,0.021627063,0.156966363,0.2305,0.366125,124.978875
55,Wilco,Star Wars,Ian Cohen,7.7,2015,July 23 2015,dBpm,Rock,0.5552727270000001,0.6759999999999999,5.727272727000001,-8.008272727,0.039809091,0.401363636,0.449090909,0.174718182,0.664727273,124.8391818
56,John Vanderslice,Pixel Revolt,David Raposa,8.3,2005,August 25 2005,Barsuk,Rock,0.562,0.317714286,5.642857143,-12.88335714,0.043664286,0.316921429,0.132312257,0.146642857,0.36275,122.9145
57,Total Control,Typical System,Jenn Pelly,8.0,2014,June 26 2014,Iron Lung,Rock,0.4144,0.6549,5.1,-9.4752,0.03855,0.08445471,0.6816,0.28087,0.51378,131.1138
58,Scott Solter,One River,Cory D. Byrom,7.1,2006,June 28 2006,Tell-All Records,Electronic,0.592655556,0.181966667,3.5555555560000003,-19.99677778,0.039777778,0.647444444,0.7860444440000001,0.093633333,0.216355556,120.6862222
59,Sankofa,The Rosetta Stone,Rollie Pemberton,7.1,2004,March 7 2004,Beyond Space,Rap,0.6679999999999999,0.6459999999999999,8.0,-8.417,0.213,0.493,8.62e-05,0.133,0.539,160.004
60,Shooting at Unarmed Men,Yes! Tinnitus!,Stuart Berman,6.1,2006,May 15 2006,Too Pure,Metal,0.4815,0.6014,5.0,-8.0241,0.07497,0.13115,0.09976585,0.17055,0.4488,126.4353
61,Nadine Shah,Love Your Dum and Mad,Jessica Hopper,7.9,2013,July 25 2013,Apollo,Rock,0.441545455,0.435181818,5.272727273,-10.138,0.031509091,0.593972727,0.274799091,0.1294,0.265754545,125.7279091
62,Common,The Dreamer/The Believer,Jayson Greene,7.6,2011,January 10 2012,Warner Bros.,Rap,0.436583333,0.8310833329999999,4.75,-5.9145,0.188616667,0.255425833,0.000768513,0.230975,0.427416667,114.8925
63,Milk Maid,Mostly No,Zach Kelly,6.8,2012,July 2 2012,Fat Cat,Rock,0.445,0.659454545,7.272727272999999,-5.874363636,0.036636364,0.236726382,0.279019163,0.155863636,0.444,118.2648182
64,Caetano Veloso,Livro,Brent DiCrescenzo,9.0,1999,June 1 1999,Atlantic,Global,0.718,0.502357143,4.928571429,-11.81357143,0.080228571,0.409142857,0.050269982,0.134942857,0.6725,114.1459286
65,EAR PWR,Super Animal Brothers III,Brian Howe,5.6,2009,June 30 2009,Carpark,Pop/R&B,0.5015,0.57975,4.375,-11.5865625,0.07885625,0.156343875,0.381799187,0.245925,0.5415625,124.6095625
66,Lou Barlow,Brace the Wave,John Everhart,7.1,2015,September 8 2015,Joyful Noise,Rock,0.508888889,0.338333333,6.666666667,-10.78611111,0.035722222,0.8771111109999999,0.02037349,0.111977778,0.373,109.962
67,Hoodrich Pablo Juan,Rich Hood,Jay Balfour,6.8,2018,January 20 2018,EMPIRE,Rap,0.798214286,0.452071429,5.5,-9.947285714,0.313428571,0.221592857,5.44e-05,0.145264286,0.380607143,126.3552143
68,Joni Mitchell,The Studio Albums 1968-1979,Jessica Hopper,8.0,2012,November 9 2012,Rhino,Rock,0.48695,0.187805,5.8,-13.6257,0.037825,0.93005,0.022073274,0.11906,0.261885,116.7114
69,Tape,Opera,Andy Beta,7.6,2003,June 9 2003,Häpna,Electronic,0.28056,0.1324025,5.2,-20.2677,0.05186,0.9569,0.25178096,0.14668,0.14981,107.7579
70,Bottom of the Hudson,Holiday Machine EP,Jason Crock,7.2,2005,August 25 2005,Absolutely Kosher,Rock,0.755,0.6648,5.8,-8.6168,0.10258,0.0156825999999999,0.194312,0.2182,0.5484,127.9934
71,Call Super,Arpo,Andy Beta,8.0,2017,November 10 2017,Houndstooth,Electronic,0.623272727,0.602818182,3.818181818,-11.14890909,0.0781090909999999,0.282782727,0.357008705,0.181754545,0.467909091,121.09
72,Double Dagger,Masks EP,Grayson Currin,8.1,2010,March 18 2010,Thrill Jockey,Rap,0.812,0.6063333329999999,4.666666667,-11.90566667,0.074733333,0.01494,0.920333333,0.103533333,0.123533333,128.341
73,Nadia Sirota,Tessellatum,Jayson Greene,7.2,2017,August 10 2017,Bedroom Community,Experimental,0.186223077,0.236053846,5.615384615,-17.99030769,0.041992308,0.490307692,0.844307692,0.186615385,0.051138462,93.17061538
74,Dengue Fever,Escape From Dragon House,Brian Howe,7.7,2005,December 5 2005,M80 Music,Rock,0.486533333,0.6418,5.066666667,-7.767733333,0.040113333,0.104949333,0.139327072,0.131313333,0.601,137.85166669999998
75,ANAMAI,What Mountain,Louis Pattison,6.8,2017,April 29 2017,Halocline Trance,Experimental,0.4286,0.4428,4.0,-9.8924,0.03396,0.2326392,0.00232956,0.24492,0.32516,126.2516
76,The Caretaker,Everywhere at the End of Time - Stage 4,Miles Bowe,7.9,2018,April 26 2018,History Always Favours the Winners,Electronic,0.493,0.609230769,5.461538462,-7.542384615,0.052515385,0.171918923,0.002226463,0.121569231,0.413107692,130.12892309999998
77,The Beths,Future Me Hates Me,Larry Fitzmaurice,7.9,2018,August 18 2018,Carpark,Rock,0.3366,0.7983,4.9,-7.5489,0.0785,0.003240207,0.014685595,0.25818,0.4217,150.4774
78,Eternal Summers,Correct Behavior,Lindsay Zoladz,7.6,2012,July 25 2012,Kanine,Rock,0.386545455,0.863727273,5.090909091,-4.613,0.0650090909999999,0.012220676,0.114206727,0.109245455,0.523727273,131.2952727
79,Young Thug,Slime Language,Evan Rytlewski,7.3,2018,August 22 2018,Young Stoner Life,Rap,0.813333333,0.4954,3.6,-10.3332,0.30978,0.036598,0.00072,0.149273333,0.46548,140.5415333
80,XXX,Language,Michelle Kim,7.3,2018,December 27 2018,BANA,Rap,0.813333333,0.4954,3.6,-10.3332,0.30978,0.036598,0.00072,0.149273333,0.46548,140.5415333
81,Zulu Winter,Language,Laura Snapes,4.9,2012,June 21 2012,Arts & Crafts,Electronic,0.813333333,0.4954,3.6,-10.3332,0.30978,0.036598,0.00072,0.149273333,0.46548,140.5415333
82,Starchild & the New Romantic,Language,Matthew  Ismael Ruiz,7.2,2018,February 26 2018,Ghostly International,Pop/R&B,0.813333333,0.4954,3.6,-10.3332,0.30978,0.036598,0.00072,0.149273333,0.46548,140.5415333
83,You Blew It!,Abendrot,Ian Cohen,7.2,2016,December 1 2016,Triple Crown,Rock,0.468416667,0.5365,4.833333333,-10.2405,0.035441667,0.162246833,0.241219333,0.207625,0.274258333,120.6220833
84,13th Floor Elevators,The Psychedelic Sounds of...,Stephen M. Deusner,9.1,1966,July 10 2005,International Artist,Rock,0.5508,0.6376,4.4,-7.8542,0.0758799999999999,0.0860399999999999,0.00110399,0.23382,0.5926,123.9692
85,Baths,Ocean Death EP,Jonah Bromwich,7.8,2014,May 7 2014,Anticon,Electronic,0.7390000000000001,0.536,8.0,-8.49,0.047,0.244,0.0,0.091,0.629,130.011
86,Hecker,Sun Pandämonium,Andy Beta,8.7,2003,February 20 2003,Mego,Electronic,0.463625,0.564375,3.625,-9.16375,0.433875,0.19101,0.3064125,0.18745,0.1160625,120.37925
87,WHY?,Rubber Traits EP,Mia Lily Clarke,6.8,2006,March 2 2006,Anticon,Rap,0.7959999999999999,0.387,8.0,-10.66,0.179,0.621,3.3799999999999995e-05,0.0957,0.353,99.977
88,Paul Weller,As Is Now,Joe Tangari,7.2,2005,January 19 2006,Yep Roc,Rock,0.535857143,0.638,5.642857143,-7.090357142999999,0.035714286,0.429194071,0.041999814,0.239621429,0.574714286,114.9525
89,Nav,Bad Habits,Reed Jackson,4.6,2019,March 28 2019,XO,Rap,0.6409,0.2671,5.1,-15.8909,0.13809,0.7449,0.7868,0.116,0.54556,96.1142
90,Crystal Castles,Crystal Castles,Ian Cohen,7.8,2008,March 17 2008,Last Gang,Electronic,0.630529412,0.7303529409999999,4.294117647,-7.089176471,0.052694118,0.116482876,0.258783176,0.200552941,0.5694705879999999,123.9565294
91,Disclosure,Moog for Love,Rebecca Haithcoat,6.0,2016,June 23 2016,Island,Electronic,0.825,0.6829999999999999,8.333333332999999,-7.942333333,0.088866667,0.01303,0.238666667,0.101633333,0.518333333,118.3423333
92,LoDeck,Dream Dentistry,Rollie Pemberton,7.1,2003,September 30 2003,Johnny23,Rap,0.673583333,0.5355833329999999,5.083333333,-10.1385,0.301583333,0.129453333,0.0552618,0.241966667,0.607833333,95.85441667
93,Brandon Coleman,Resistance,Andy Beta,6.7,2018,September 28 2018,Brainfeeder,Experimental,0.368709091,0.647454545,4.727272727,-6.908181817999999,0.045663636,0.081989273,0.283001818,0.120518182,0.215118182,134.7934545
94,Muse,The Resistance,Jess Harvell,5.9,2009,September 15 2009,Warner Bros.,Rock,0.368709091,0.647454545,4.727272727,-6.908181817999999,0.045663636,0.081989273,0.283001818,0.120518182,0.215118182,134.7934545
95,Stormzy,Gang Signs & Prayer,Matthew Ismael Ruiz,7.6,2017,February 28 2017,#Merky,Rap,0.59975,0.6377375,4.1875,-7.03525,0.24935,0.430151938,2.730000000000001e-05,0.2196125,0.4844375,119.4144375
96,Bear in Heaven,Beast Rest Forth Mouth,Eric Harvey,8.4,2009,November 9 2009,Hometapes,Rock,0.53635,0.7562,4.95,-7.5275,0.05221,0.211054275,0.49310375,0.26804,0.387805,112.42645
97,"Does It Offend You, Yeah?",You Have No Idea What You Are Getting Yourself Into,Tom Ewing,2.3,2008,March 25 2008,Virgin,Electronic,0.445454545,0.764727273,4.6363636360000005,-5.878272727000001,0.044681818,0.017281364,0.029807196,0.255663636,0.580227273,142.4293636
98,Telekinesis,Telekinesis!,Matthew Perpetua,6.3,2009,April 8 2009,Merge,Rock,0.473727273,0.673181818,6.272727272999999,-7.943545455,0.045754545,0.300068182,0.030793782,0.284090909,0.536636364,143.48045449999995
99,Weezer,Raditude,Rob Mitchum,4.5,2009,November 4 2009,Geffen,Rock,0.6114,0.7109,4.2,-6.6817,0.04759,0.0201155,0.000934417,0.2138,0.5017,122.6545
100,The Darkness,One Way Ticket to Hell...and Back,Rob Mitchum,6.5,2005,November 28 2005,Atlantic,Metal,0.5183,0.7713,5.7,-3.7712,0.05056,0.114419,0.060297358,0.27058,0.44559,117.5241
101,Young Dro,Da Reality Show,Israel Daramola,7.4,2015,October 8 2015,Entertainment One,Rap,0.714583333,0.594916667,4.666666667,-7.324916667,0.257308333,0.296443583,0.000808918,0.208708333,0.52605,131.87775
102,Nadastrom,The Life and Times of Raphael De La Ghettó,Jonah Bromwich,6.8,2015,July 14 2015,Self-released,Electronic,0.76525,0.6929375,5.6875,-8.0475,0.15399375,0.123638375,0.0072235,0.181625,0.3993625,130.9574375
103,Devendra Banhart,Oh Me Oh My...,Dominique Leone,7.8,2002,November 5 2002,Young God,Folk/Country,0.672,0.649,0.0,-8.293,0.0764,0.353,0.00062,0.596,0.67,159.986
104,Cate Le Bon,Me Oh My,Marc Hogan,7.3,2009,June 1 2010,Control Group,Rock,0.672,0.649,0.0,-8.293,0.0764,0.353,0.00062,0.596,0.67,159.986
105,Robert Plant,lullaby and... The Ceaseless Roar,Stuart Berman,7.0,2014,September 9 2014,Nonesuch,Rock,0.490090909,0.649363636,5.818181817999999,-9.113818182,0.046072727,0.481,0.510263636,0.152309091,0.3920181820000001,120.2665455
106,The Polyphonic Spree,Wait EP,Marc Hogan,6.2,2006,September 26 2006,Good,Rock,0.479,0.8270000000000001,3.666666667,-6.553,0.087933333,0.001647333,0.865,0.250333333,0.509,135.4906667
107,Andrew Bird,Break It Yourself,Joe Tangari,7.5,2012,March 6 2012,Bella Union,Rock,0.515642857,0.415885714,4.1428571430000005,-11.13707143,0.045721429,0.630864286,0.300941429,0.130185714,0.406314286,119.0435
108,Daniel Caesar,Freudian,Briana Younger,7.3,2017,August 26 2017,Golden Child,Pop/R&B,0.4592,0.3199,5.5,-10.9233,0.04333,0.6923,0.001227533,0.18402,0.28581,85.1527
109,Blur,The Magic Whip,Craig Jenkins,7.0,2015,April 28 2015,Parlophone,Rock,0.672333333,0.730666667,4.833333333,-5.71475,0.037683333,0.204163,0.134529083,0.138783333,0.580333333,114.2096667
110,Deerhoof,The Magic,Benjamin Scheim,6.9,2016,June 29 2016,Polyvinyl,Experimental,0.672333333,0.730666667,4.833333333,-5.71475,0.037683333,0.204163,0.134529083,0.138783333,0.580333333,114.2096667
111,The Avalanches,Since I Left You,Matt LeMay,9.5,2001,December 31 1999,Sire,Electronic,0.5545555560000001,0.791388889,5.777777778,-8.4015,0.093705556,0.237146667,0.121551632,0.398116667,0.404688889,106.8230556
112,Tornado Wallace,Lonely Planet,Philip Sherburne,7.2,2017,January 20 2017,Running Back,Electronic,0.6092,0.524,7.6,-9.1754,0.18172,0.7544,0.5746,0.1532,0.3506,139.3328
113,Grass Widow,Internal Logic,Lindsay Zoladz,7.7,2012,May 22 2012,HLR,Experimental,0.391909091,0.73768,4.818181818,-10.30781818,0.055254545,0.574672727,0.8132727270000001,0.144827273,0.588636364,140.1395455
114,Black Kids,Partie Traumatic,Scott Plagenhoef,3.3,2008,July 22 2008,Columbia,Electronic,0.5787272729999999,0.8636363640000001,5.181818182,-5.012636364,0.046781818,0.005480091,0.0016250879999999,0.268181818,0.7446363640000001,127.9531818
115,Tennis,Cape Dory,Mark Richardson,6.2,2011,January 20 2011,Fat Possum,Rock,0.4693,0.5477,4.5,-7.895,0.02808,0.4960600000000001,0.039193522,0.14222,0.5395,126.5813
116,Mitski,Be the Cowboy,Quinn Moreland,8.8,2018,August 17 2018,Dead Oceans,Rock,0.382642857,0.537971429,4.785714286,-7.325357143,0.033,0.282167643,0.078762019,0.230321429,0.33725,114.7948571
117,Warm Bodies,Warm Bodies,Evan Minsker,7.7,2018,April 3 2018,Lumpy,Rock,0.562,0.731,6.0,-7.006,0.0354,0.0135,0.0,0.189,0.604,116.013
118,Jens-Uwe Beyer,The Emissary,Philip Sherburne,6.8,2015,September 17 2015,Kompakt,Electronic,0.73375,0.84875,6.25,-9.1435,0.048175,0.0326885,0.8645,0.082875,0.3375,122.49975
119,Wrnlrd,Oneiromantical War,Marc Masters,7.3,2008,October 13 2008,Flingco Sound,Metal,0.12345,0.454125,6.833333333,-13.46416667,0.155966667,0.2559245,0.922,0.4156666670000001,0.07965,96.688
120,Six Organs of Admittance,Luminous Night,Joe Tangari,6.9,2009,August 10 2009,Drag City,Experimental,0.27675,0.394125,5.0,-11.095375,0.033,0.643125,0.843625,0.17445,0.1426375,118.8495
121,Kammerflimmer Kollektief,Absencen,Matthew Murphy,7.6,2005,April 19 2005,Staubgold,Electronic,0.361090909,0.567818182,5.545454545,-10.64754545,0.039918182,0.606236364,0.549818182,0.182445455,0.311518182,102.8719091
122,Robert Pollard,Space City Kicks,Paul Thompson,6.8,2011,January 21 2011,"Guided By Voices, Inc.",Rock,0.398277778,0.6547277779999999,4.722222222,-7.385111111,0.068833333,0.305926667,0.286629894,0.167705556,0.405061111,131.9099444
123,Steve Buscemi,Rub Out the Word,Saby Reyes-Kulkarni,4.6,2016,September 12 2016,Infrequent Seams,Experimental,0.472,0.233833333,7.666666667,-18.77283333,0.431,0.706333333,2.76e-06,0.603,0.308666667,93.78816667
124,Archer Prewitt,Wilderness,Sam Ubl,8.5,2005,January 18 2005,Thrill Jockey,Rock,0.186,0.271,7.0,-17.149,0.0449,0.8859999999999999,0.961,0.141,0.0684,115.896
125,Wilderness,Wilderness,Ryan Schreiber,8.5,2004,June 23 2005,Jagjaguwar,Rock,0.186,0.271,7.0,-17.149,0.0449,0.8859999999999999,0.961,0.141,0.0684,115.896
126,Laurel Halo,DJ-Kicks,Philip Sherburne,7.7,2019,March 23 2019,!K7,Electronic,0.6609999999999999,0.587470588,7.058823529,-15.24864706,0.059094118,0.100988941,0.7544708609999999,0.201105882,0.575941176,136.0112941
